구,행정동,위도 (Lat),경도 (Long)
상록구,일동,37.3075,126.8647
상록구,이동,37.3069,126.8539
상록구,사동,37.2922,126.8664
상록구,사이동,37.2847,126.8586
상록구,해양동,37.2894,126.8436
상록구,본오1동,37.2922,126.8778
상록구,본오2동,37.3006,126.8778
상록구,본오3동,37.3042,126.8731
상록구,부곡동,37.3278,126.8631
상록구,월피동,37.3203,126.8517
상록구,성포동,37.3161,126.8458
상록구,반월동,37.3183,126.8997
상록구,안산동,37.3486,126.8903
단원구,와동,37.3253,126.8372
단원구,고잔동,37.3117,126.8344
단원구,중앙동,37.315,126.8306
단원구,호수동,37.3003,126.8306
단원구,원곡동,37.3325,126.8117
단원구,백운동,37.3278,126.8089
단원구,신길동,37.3258,126.7778
단원구,초지동,37.3117,126.8031
단원구,선부1동,37.3422,126.8208
단원구,선부2동,37.3381,126.8167
단원구,선부3동,37.3361,126.8031
단원구,대부동,37.2611,126.5744
