동,연도,총인구수,남자인구수,여자인구수,구,위도 (Lat),경도 (Long)
고잔동,2016,20964,10562,10402,단원구,37.3117,126.8344
고잔동,2017,20883,10461,10422,단원구,37.3117,126.8344
고잔동,2018,21792,10938,10854,단원구,37.3117,126.8344
고잔동,2019,22548,11325,11223,단원구,37.3117,126.8344
고잔동,2020,21940,10956,10984,단원구,37.3117,126.8344
고잔동,2021,21554,10787,10767,단원구,37.3117,126.8344
고잔동,2022,21080,10559,10521,단원구,37.3117,126.8344
고잔동,2023,20396,10135,10261,단원구,37.3117,126.8344
고잔동,2024,19918,9923,9995,단원구,37.3117,126.8344
고잔동,2025,19521,9722,9799,단원구,37.3117,126.8344
대부동,2016,8171,4267,3904,단원구,37.2611,126.5744
대부동,2017,8370,4384,3986,단원구,37.2611,126.5744
대부동,2018,8543,4482,4061,단원구,37.2611,126.5744
대부동,2019,8550,4472,4078,단원구,37.2611,126.5744
대부동,2020,8800,4621,4179,단원구,37.2611,126.5744
대부동,2021,9060,4756,4304,단원구,37.2611,126.5744
대부동,2022,9240,4871,4369,단원구,37.2611,126.5744
대부동,2023,9205,4819,4386,단원구,37.2611,126.5744
대부동,2024,9168,4720,4448,단원구,37.2611,126.5744
대부동,2025,9112,4725,4387,단원구,37.2611,126.5744
반월동,2016,20266,10290,9976,상록구,37.3183,126.8997
반월동,2017,19719,10011,9708,상록구,37.3183,126.8997
반월동,2018,19086,9671,9415,상록구,37.3183,126.8997
반월동,2019,18549,9381,9168,상록구,37.3183,126.8997
반월동,2020,18085,9113,8972,상록구,37.3183,126.8997
반월동,2021,17516,8837,8679,상록구,37.3183,126.8997
반월동,2022,17162,8636,8526,상록구,37.3183,126.8997
반월동,2023,16831,8476,8355,상록구,37.3183,126.8997
반월동,2024,16559,8360,8199,상록구,37.3183,126.8997
반월동,2025,17718,8927,8791,상록구,37.3183,126.8997
백운동,2016,5847,3077,2770,단원구,37.3278,126.8089
백운동,2017,19816,10088,9728,단원구,37.3278,126.8089
백운동,2018,18501,9416,9085,단원구,37.3278,126.8089
백운동,2019,19098,9716,9382,단원구,37.3278,126.8089
백운동,2020,18463,9379,9084,단원구,37.3278,126.8089
백운동,2021,21344,10723,10621,단원구,37.3278,126.8089
백운동,2022,21241,10668,10573,단원구,37.3278,126.8089
백운동,2023,24221,12166,12055,단원구,37.3278,126.8089
백운동,2024,24061,12073,11988,단원구,37.3278,126.8089
백운동,2025,23751,11886,11865,단원구,37.3278,126.8089
본오1동,2016,43591,22369,21222,상록구,37.2922,126.8778
본오1동,2017,43250,22185,21065,상록구,37.2922,126.8778
본오1동,2018,41487,21297,20190,상록구,37.2922,126.8778
본오1동,2019,39694,20430,19264,상록구,37.2922,126.8778
본오1동,2020,38101,19692,18409,상록구,37.2922,126.8778
본오1동,2021,37238,19342,17896,상록구,37.2922,126.8778
본오1동,2022,36756,19097,17659,상록구,37.2922,126.8778
본오1동,2023,35589,18515,17074,상록구,37.2922,126.8778
본오1동,2024,34738,18031,16707,상록구,37.2922,126.8778
본오1동,2025,34092,17694,16398,상록구,37.2922,126.8778
